Player,Gross P/W (GBP/EUR),Gross P/W (USD),Gross P/Min(USD),Gross P/Y  (GBP/EUR),Gross P/Y (USD),Gross P/Y  (GBP/EUR) BONUS,Signed,Gross Remaining (USD),Status,Pos.,Pos.,Age,Country,Club,Competition,
Luka Modric,200385,216415.8,21.46982143,10420000,11253600,,45490,#REF!,Reserve,M,CM,38,Croatia,Real Madrid,La Liga,
João Félix,170000,215900,21.41865079,8840000,11226800,,45525,#REF!,Reserve,F,LW,24,Portugal,Chelsea,Premier League,
James Maddison,170000,215900,21.41865079,8840000,11226800,,45108,#REF!,Starter,F,AM,27,England,Tottenham Hotspur,Premier League,
Alessandro Bastoni,195962,211638.96,20.99592857,10190000,11005200,1850000,45112,#REF!,Starter,D,CB,25,Italy,Inter Milan,Serie A,
Cristian Romero,165000,209550,20.78869048,8580000,10896600,,44803,#REF!,Starter,D,CB,26,Argentina,Tottenham Hotspur,Premier League,
Timo Werner,165000,209550,20.78869048,8580000,10896600,1820000,45440,#REF!,Starter,F,LW,28,Germany,Tottenham Hotspur,Premier League,
Ferran Torres,192308,207692.64,20.60442857,10000000,10800000,3000000,44562,#REF!,Starter,F,LW,24,Spain,Barcelona,La Liga,
João Palhinha,192308,207692.64,20.60442857,10000000,10800000,2000000,45484,#REF!,Reserve,M,DM,29,Portugal,Bayern Munich,Bundesliga,
Dayot Upamecano,192308,207692.64,20.60442857,10000000,10800000,,44382,#REF!,Starter,D,CB,25,France,Bayern Munich,Bundesliga,
Niklas Süle,192308,207692.64,20.60442857,10000000,10800000,1000000,44743,#REF!,Reserve,D,CB,28,Germany,Borussia Dortmund,Bundesliga,
Raheem Sterling,162500,206375,20.47371032,8450000,10731500,,45534,#REF!,Starter,F,LW,29,England,Arsenal FC,Premier League,
Raheem Sterling,162500,206375,20.47371032,8450000,10731500,,45534,#REF!,Reserve,F,LW,29,England,Chelsea,Premier League,
Pedro Neto,160000,203200,20.15873016,8320000,10566400,,45515,#REF!,Reserve,F,RW,24,Portugal,Chelsea,Premier League,
Andrew Robertson,160000,203200,20.15873016,8320000,10566400,,44432,#REF!,Reserve,D,LB,30,Scotland,Liverpool,Premier League,
Nathan Aké,160000,203200,20.15873016,8320000,10566400,,45136,#REF!,Reserve,D,CB,29,Netherlands,Manchester City,Premier League,
Bruno Guimarães,160000,203200,20.15873016,8320000,10566400,2080000,45206,#REF!,Starter,M,DM,26,Brazil,Newcastle United,Premier League,
Serhou Guirassy,181346,195853.68,19.42992857,9430000,10184400,,45491,#REF!,Starter,F,CF,28,Guinea,Borussia Dortmund,Bundesliga,
Dani Olmo,180385,194815.8,19.32696429,9380000,10130400,2080000,45513,#REF!,Reserve,F,AM,26,Spain,Barcelona,La Liga,
Iñigo Martínez,180385,194815.8,19.32696429,9380000,10130400,,45112,#REF!,Starter,D,CB,33,Spain,Barcelona,La Liga,
Pedri,180385,194815.8,19.32696429,9380000,10130400,,44483,#REF!,Starter,M,CM,21,Spain,Barcelona,La Liga,
Lucas Vázquez,180385,194815.8,19.32696429,9380000,10130400,,45491,#REF!,Reserve,D,RB,33,Spain,Real Madrid,La Liga,
Bremer,178077,192323.16,19.07967857,9260000,10000800,1850000,45509,#REF!,Starter,D,CB,27,Brazil,Juventus,Serie A,
Oleksandr Zinchenko,150000,190500,18.89880952,7800000,9906000,,44764,#REF!,Reserve,D,LB,27,Ukraine,Arsenal FC,Premier League,
Ben White,150000,190500,18.89880952,7800000,9906000,,45365,#REF!,Reserve,D,RB,26,England,Arsenal FC,Premier League,
Youri Tielemans,150000,190500,18.89880952,7800000,9906000,,45108,#REF!,Starter,M,CM,27,Belgium,Aston Villa,Premier League,
Boubacar Kamara,150000,190500,18.89880952,7800000,9906000,,44743,#REF!,Reserve,M,DM,24,France,Aston Villa,Premier League,
Emiliano Martínez,150000,190500,18.89880952,7800000,9906000,,45525,#REF!,Starter,K,GK,32,Argentina,Aston Villa,Premier League,
Moisés Caicedo,150000,190500,18.89880952,7800000,9906000,1300000,45152,#REF!,Starter,M,DM,22,Ecuador,Chelsea,Premier League,
Kalvin Phillips,150000,190500,18.89880952,7800000,9906000,,45520,#REF!,Starter,M,DM,28,England,Ipswich Town,Premier League,
Alexis Mac Allister,150000,190500,18.89880952,7800000,9906000,1560000,45108,#REF!,Starter,M,CM,25,Argentina,Liverpool,Premier League,
Ryan Gravenberch,150000,190500,18.89880952,7800000,9906000,,45170,#REF!,Starter,M,CM,22,Netherlands,Liverpool,Premier League,
Alisson,150000,190500,18.89880952,7800000,9906000,,44412,#REF!,Starter,K,GK,31,Brazil,Liverpool,Premier League,
Federico Chiesa,150000,190500,18.89880952,7800000,9906000,1560000,45533,#REF!,Reserve,F,LW,26,Italy,Liverpool,Premier League,
Mateo Kovacic,150000,190500,18.89880952,7800000,9906000,,45108,#REF!,Reserve,M,CM,30,Croatia,Manchester City,Premier League,
Luke Shaw,150000,190500,18.89880952,7800000,9906000,2600000,45020,#REF!,Reserve,D,LB,29,England,Manchester United,Premier League,
Jadon Sancho,150000,190500,18.89880952,7800000,9906000,5200000,44400,#REF!,Reserve,F,LW,24,England,Manchester United,Premier League,
Christian Eriksen,150000,190500,18.89880952,7800000,9906000,,44757,#REF!,Starter,M,CM,32,Denmark,Manchester United,Premier League,
